"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","State and Province","Duration","Growth Habit","Native Status","Bloom Period"
"SYSPS","","SYSPS","Symphyotrichum spathulatum var. spathulatum","","Symphyotrichum","","spathulatum","","","","var.","","spathulatum","","","","","(Lindl.) G.L. Nesom","(Lindl.) G.L. Nesom","","","","USA (CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, NT)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"SYMPH2","","SYMPH2","Symphytum","","Symphytum","","","","","","","","","","","","","","","","","","USA (AK, AR, CA, CO, CT, DC, DE, GA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, NH, NJ, NM, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)","","","",""
"SYOF","","SYOF","Symphytum officinale","","Symphytum","","officinale","","","","","","","","","","","L.","","","","","USA (AR, CA, CO, CT, DC, DE, GA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, NH, NJ, NM, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, ON, QC, SK), FRA (SPM)","Perennial","Forb/herb","L48 (I), CAN (I), SPM (I)",""
"SYRIN","","SYRIN","Syringa","","Syringa","","","","","","","","","","","","","","","","","","USA (AR, CO, CT, DC, DE, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NM, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WI, WV, WY), CAN (BC, NB, NS, ON, PE, QC, SK)","","","",""
"SYVU","","SYVU","Syringa vulgaris","","Syringa","","vulgaris","","","","","","","","","","","L.","","","","","USA (AR, CO, CT, DC, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NM, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WI, WV), CAN (BC, NB, NS, ON, PE, QC, SK)","Perennial","Shrub","L48 (I), CAN (I)","Late Spring"
"TAMAR2","","TAMAR2","Tamarix","","Tamarix","","","","","","","","","","","","","","","","","","USA (AR, AZ, CA, CO, CT, DE, FL, GA, ID, IL, KS, KY, LA, MA, MI, MO, MS, MT, NC, ND, NE, NJ, NM, NV, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WY), USA+ (PR)","","","",""
"TACH2","","TACH2","Tamarix chinensis","","Tamarix","","chinensis","","","","","","","","","","","Lour.","","","","","USA (AR, AZ, CA, CO, MT, NC, NM, NV, OH, OK, OR, TX, UT, WY)","Perennial","Tree, Shrub","L48 (I)",""
"TAPA4","","TAPA4","Tamarix parviflora","","Tamarix","","parviflora","","","","","","","","","","","DC.","","","","","USA (AZ, CA, CO, CT, DE, FL, ID, IL, KS, KY, LA, MA, MI, MO, MS, MT, NC, NJ, NM, NV, OK, OR, PA, TN, TX, UT, VA, WA)","Perennial","Tree, Shrub","L48 (I)",""
"TARA","","TARA","Tamarix ramosissima","","Tamarix","","ramosissima","","","","","","","","","","","Ledeb.","","","","","USA (AR, AZ, CA, CO, GA, KS, LA, MS, NC, ND, NE, NM, NV, OK, SC, SD, TX, UT, VA)","Perennial","Tree, Shrub","L48 (I)",""
"TANAC","","TANAC","Tanacetum","","Tanacetum","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA (SPM)","","","",""
"TABA","","TABA","Tanacetum balsamita","","Tanacetum","","balsamita","","","","","","","","","","","L.","","","","","USA (CA, CO, CT, DC, DE, ID, IL, IN, KS, MA, MD, ME, MI, MO, MT, NH, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY), CAN (NS, ON, QC, SK)","Perennial","Forb/herb","L48 (I), CAN (I)",""
"TACO6","","TACO6","Tanacetum coccineum","","Tanacetum","","coccineum","","","","","","","","","","","(Willd.) Grierson","","","","","USA (CO, NY, OH)","Perennial","Forb/herb","L48 (I)",""
"TAPA6","","TAPA6","Tanacetum parthenium","","Tanacetum","","parthenium","","","","","","","","","","","(L.) Sch. Bip.","","","","","USA (AL, CA, CO, CT, DC, DE, HI, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NV, NY, OH, OR, PA, RI, SC, UT, VT, WA, WI, WV, WY), CAN (BC, MB, NB, NF, NS, ON, PE, QC)","Perennial","Forb/herb","L48 (I), HI (I), CAN (I)",""
"TAVU","","TAVU","Tanacetum vulgare","","Tanacetum","","vulgare","","","","","","","","","","","L.","","","","","USA (AK, AR, AZ, CA, CO, CT, DC, DE, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)","Perennial","Forb/herb","L48 (I), AK (I), HI (I), CAN (I), SPM (I)",""
"TARAX","","TARAX","Taraxacum","","Taraxacum","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","","","",""
"TAER2","","TAER2","Taraxacum eriophorum","","Taraxacum","","eriophorum","","","","","","","","","","","Rydb.","","","","","USA (AK, CO, ID, MT, WA, WY)","Perennial","Forb/herb","L48 (N), AK (N)",""
"TALA2","","TALA2","Taraxacum laevigatum","","Taraxacum","","laevigatum","","","","","","","","","","","(Willd.) DC.","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, NT, ON, QC, SK, YT)","Perennial","Forb/herb","L48 (I), AK (I), HI (I), CAN (I)",""
"TALY","","TALY","Taraxacum lyratum","","Taraxacum","","lyratum","","","","","","","","","","","(Ledeb.) DC.","","","","","USA (AK, AZ, CO, ID, MT, NM, NV, UT, WA, WY), CAN (AB, BC, NT, NU), DEN (GL)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N)",""
"TAOF","","TAOF","Taraxacum officinale","","Taraxacum","","officinale","","","","","","","","","","","F.H. Wigg.","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Perennial","Forb/herb","L48 (NI), AK (NI), HI (I), PR (I), CAN (NI), GL (NI), SPM (I)","Early Spring"
"TAOFC","","TAOFC","Taraxacum officinale ssp. ceratophorum","","Taraxacum","","officinale","ssp.","","ceratophorum","","","","","","","","F.H. Wigg.","(Ledeb.) Schinz ex Thell.","","","","USA (AK, CA, CO, ID, ME, MT, NH, NM, NV, OR, UT, WA, WY), CAN (AB, BC, LB, MB, NF, NT, NU, ON, QC, SK, YT), DEN (GL)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N)",""
"TAOFO","","TAOFO","Taraxacum officinale ssp. officinale","","Taraxacum","","officinale","ssp.","","officinale","","","","","","","","F.H. Wigg.","F.H. Wigg.","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Perennial","Forb/herb","L48 (I), AK (I), HI (I), PR (I), CAN (I), GL (I), SPM (I)",""
"TELES2","","TELES2","Telesonix","","Telesonix","","","","","","","","","","","","","","","","","","USA (CO, ID, MT, NM, NV, SD, UT, WY), CAN (AB)","","","",""
"TEJA","","TEJA","Telesonix jamesii","","Telesonix","","jamesii","","","","","","","","","","","(Torr.) Raf.","","","","","USA (CO, NM)","Perennial","Forb/herb","L48 (N)",""
"TETRA3","","TETRA3","Tetradymia","","Tetradymia","","","","","","","","","","","","","","","","","","USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (BC)","","","",""
"TECA2","","TECA2","Tetradymia canescens","","Tetradymia","","canescens","","","","","","","","","","","DC.","","","","","USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (BC)","Perennial","Subshrub, Shrub","L48 (N), CAN (N)","Late Summer"
"TENU2","","TENU2","Tetradymia nuttallii","","Tetradymia","","nuttallii","","","","","","","","","","","Torr. & A. Gray","","","","","USA (CO, NV, UT, WY)","Perennial","Subshrub, Shrub","L48 (N)",""
"TESP2","","TESP2","Tetradymia spinosa","","Tetradymia","","spinosa","","","","","","","","","","","Hook. & Arn.","","","","","USA (CA, CO, ID, MT, NM, NV, OR, UT, WY)","Perennial","Subshrub, Shrub","L48 (N)","Mid Spring"
"TETRA17","","TETRA17","Tetraneuris","","Tetraneuris","","","","","","","","","","","","","","","","","","USA (AR, AZ, CA, CO, ID, IL, KS, MI, MT, ND, NE, NM, NV, OH, OK, SD, TX, UT, WY), CAN (AB, ON, SK)","","","",""
"TEAC","","TEAC","Tetraneuris acaulis","","Tetraneuris","","acaulis","","","","","","","","","","","(Pursh) Greene","","","","","USA (AZ, CA, CO, ID, KS, MT, ND, NE, NM, NV, OK, SD, TX, UT, WY), CAN (AB, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"TEACA2","","TEACA2","Tetraneuris acaulis var. acaulis","","Tetraneuris","","acaulis","","","","var.","","acaulis","","","","","(Pursh) Greene","(Pursh) Greene","","","","USA (CO, ID, KS, MT, ND, NE, NM, OK, SD, TX, WY), CAN (AB, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"TEACA","","TEACA","Tetraneuris acaulis var. arizonica","","Tetraneuris","","acaulis","","","","var.","","arizonica","","","","","(Pursh) Greene","(Greene) K.F. Parker","","","","USA (AZ, CA, CO, ID, NM, NV, UT, WY)","Perennial","Forb/herb","L48 (N)",""
"TEACC","","TEACC","Tetraneuris acaulis var. caespitosa","","Tetraneuris","","acaulis","","","","var.","","caespitosa","","","","","(Pursh) Greene","A. Nelson","","","","USA (CO, NM, UT, WY)","Perennial","Forb/herb","L48 (N)",""
"TEACE","","TEACE","Tetraneuris acaulis var. epunctata","","Tetraneuris","","acaulis","","","","var.","","epunctata","","","","","(Pursh) Greene","(A. Nelson) Kartesz & Gandhi","","","","USA (CO, UT, WY)","Perennial","Forb/herb","L48 (N)",""
"TEBR","","TEBR","Tetraneuris brandegeei","","Tetraneuris","","brandegeei","","","","","","","","","","","(Porter ex A. Gray) K.F. Parker","","","","","USA (AZ, CO, NM)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"TEGR3","","TEGR3","Tetraneuris grandiflora","","Tetraneuris","","grandiflora","","","","","","","","","","","(Torr. & A. Gray ex A. Gray) K.F. Parker","","","","","USA (CO, ID, MT, UT, WY)","Perennial","Forb/herb","L48 (N)",""
"TEIV","","TEIV","Tetraneuris ivesiana","","Tetraneuris","","ivesiana","","","","","","","","","","","Greene","","","","","USA (AZ, CO, NM, UT)","Perennial","Forb/herb","L48 (N)",""
"TESC2","","TESC2","Tetraneuris scaposa","","Tetraneuris","","scaposa","","","","","","","","","","","(DC.) Greene","","","","","USA (AR, CO, KS, NM, OK, TX)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"TESCL","","TESCL","Tetraneuris scaposa var. linearis","","Tetraneuris","","scaposa","","","","var.","","linearis","","","","","(DC.) Greene","(Nutt.) Parker","","","","USA (CO, KS, NM, OK, TX)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"TESCS","","TESCS","Tetraneuris scaposa var. scaposa","","Tetraneuris","","scaposa","","","","var.","","scaposa","","","","","(DC.) Greene","(DC.) Greene","","","","USA (AR, CO, KS, NM, OK, TX)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"TETO","","TETO","Tetraneuris torreyana","","Tetraneuris","","torreyana","","","","","","","","","","","(Nutt.) Greene","","","","","USA (CO, MT, UT, WY)","Perennial","Forb/herb","L48 (N)",""
"TEUCR","","TEUCR","Teucrium","","Teucrium","","","","","","","","","","","","","","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (BC, MB, NB, NS, ON, PE, QC, SK)","","","",""
"TECA3","","TECA3","Teucrium canadense","","Teucrium","","canadense","","","","","","","","","","","L.","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (BC, MB, NB, NS, ON, PE, QC, SK)","Perennial","Forb/herb","L48 (N), CAN (N)","Summer"
"TECAO","","TECAO","Teucrium canadense var. occidentale","","Teucrium","","canadense","","","","var.","","occidentale","","","","","L.","(A. Gray) E.M. McClint. & Epling","","","","USA (AZ, CA, CO, CT, IA, ID, IL, IN, KS, MA, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SD, TX, UT, VA, VT, WA, WI, WV, WY), CAN (BC, MB, ON, QC, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"TELA","","TELA","Teucrium laciniatum","","Teucrium","","laciniatum","","","","","","","","","","","Torr.","","","","","USA (CO, KS, MD, NM, OK, TX)","Perennial","Forb/herb","L48 (N)",""
"THALI2","","THALI2","Thalictrum","","Thalictrum","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","","","",""
"THAL","","THAL","Thalictrum alpinum","","Thalictrum","","alpinum","","","","","","","","","","","L.","","","","","USA (AK, CA, CO, ID, MT, NM, NV, OR, UT, WY), CAN (BC, LB, NF, NT, QC, YT), DEN (GL)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N)",""
"THDA","","THDA","Thalictrum dasycarpum","","Thalictrum","","dasycarpum","","","","","","","","","","","Fisch. & Avé-Lall.","","","","","USA (AL, AR, AZ, CO, IA, ID, IL, IN, KS, KY, LA, MI, MN, MO, MS, MT, ND, NE, NM, NY, OH, OK, PA, SD, TN, TX, UT, WA, WI, WY), CAN (AB, BC, MB, ON, QC, SK, YT)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"THFE","","THFE","Thalictrum fendleri","","Thalictrum","","fendleri","","","","","","","","","","","Engelm. ex A. Gray","","","","","USA (AZ, CA, CO, ID, NM, NV, OR, TX, UT, WY)","Perennial","Forb/herb","L48 (N)",""
"THFEF","","THFEF","Thalictrum fendleri var. fendleri","","Thalictrum","","fendleri","","","","var.","","fendleri","","","","","Engelm. ex A. Gray","Engelm. ex A. Gray","","","","USA (AZ, CA, CO, ID, NM, NV, OR, TX, UT, WY)","Perennial","Forb/herb","L48 (N)",""
"THHE2","","THHE2","Thalictrum heliophilum","","Thalictrum","","heliophilum","","","","","","","","","","","Wilken & DeMott","","","","","USA (CO)","Perennial","Forb/herb","L48 (N)",""
"THOC","","THOC","Thalictrum occidentale","","Thalictrum","","occidentale","","","","","","","","","","","A. Gray","","","","","USA (AK, CA, CO, ID, MT, NV, OR, WA, WY), CAN (AB, BC, SK, YT)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"THOCO2","","THOCO2","Thalictrum occidentale var. occidentale","","Thalictrum","","occidentale","","","","var.","","occidentale","","","","","A. Gray","A. Gray","","","","USA (AK, CA, CO, ID, MT, NV, OR, WA, WY), CAN (AB, BC, SK, YT)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"THRE","","THRE","Thalictrum revolutum","","Thalictrum","","revolutum","","","","","","","","","","","DC.","","","","","USA (AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, MI, MN, MO, MS, NC, NH, NJ, NM, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, WI, WV), CAN (MB, ON, QC)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"THSP","","THSP","Thalictrum sparsiflorum","","Thalictrum","","sparsiflorum","","","","","","","","","","","Turcz. ex Fisch. & C.A. Mey.","","","","","USA (AK, CA, CO, ID, MT, NV, OR, UT, WA, WY), CAN (AB, BC, MB, NT, ON, SK, YT)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"THSPS","","THSPS","Thalictrum sparsiflorum var. saximontanum","","Thalictrum","","sparsiflorum","","","","var.","","saximontanum","","","","","Turcz. ex Fisch. & C.A. Mey.","B. Boivin","","","","USA (CA, CO, ID, MT, NV, OR, UT, WA, WY)","Perennial","Forb/herb","L48 (N)",""
"THVE","","THVE","Thalictrum venulosum","","Thalictrum","","venulosum","","","","","","","","","","","Trel.","","","","","USA (CO, ID, ME, MI, MN, MT, ND, NE, NM, NY, OR, SD, UT, VT, WA, WI, WY), CAN (AB, BC, MB, NB, NT, ON, PE, QC, SK, YT)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"THAMN","","THAMN","Thamnosma","","Thamnosma","","","","","","","","","","","","","","","","","","USA (AZ, CA, CO, NM, NV, TX, UT)","","","",""
"THTE2","","THTE2","Thamnosma texana","","Thamnosma","","texana","","","","","","","","","","","(A. Gray) Torr.","","","","","USA (AZ, CO, NM, TX)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"THELE","","THELE","Thelesperma","","Thelesperma","","","","","","","","","","","","","","","","","","USA (AR, AZ, CA, CO, IL, IN, KS, LA, MI, MN, MO, MS, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WY), CAN (AB)","","","",""
"THAM4","","THAM4","Thelesperma ambiguum","","Thelesperma","","ambiguum","","","","","","","","","","","A. Gray","","","","","USA (CO, NM, OK, TX, WY)","Perennial","Forb/herb","L48 (N)",""
"THFI","","THFI","Thelesperma filifolium","","Thelesperma","","filifolium","","","","","","","","","","","(Hook.) A. Gray","","","","","USA (AR, CO, KS, MO, MS, NE, NM, OK, SD, TX, WY)","Annual, Perennial","Forb/herb","L48 (N)",""
"THFII","","THFII","Thelesperma filifolium var. intermedium","","Thelesperma","","filifolium","","","","var.","","intermedium","","","","","(Hook.) A. Gray","(Rydb.) Shinners","","","","USA (CO, KS, MO, NE, NM, OK, SD, TX, WY)","Annual, Perennial","Forb/herb","L48 (N)",""
"THME","","THME","Thelesperma megapotamicum","","Thelesperma","","megapotamicum","","","","","","","","","","","(Spreng.) Kuntze","","","","","USA (AR, AZ, CA, CO, IL, IN, KS, MI, MN, MO, MT, NE, NM, OK, OR, SD, TX, UT, WY)","Perennial","Forb/herb","L48 (N)",""
"THSU","","THSU","Thelesperma subnudum","","Thelesperma","","subnudum","","","","","","","","","","","A. Gray","","","","","USA (AZ, CO, MT, ND, NM, NV, UT, WY), CAN (AB)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"THSUS","","THSUS","Thelesperma subnudum var. subnudum","","Thelesperma","","subnudum","","","","var.","","subnudum","","","","","A. Gray","A. Gray","","","","USA (AZ, CO, NM, NV, UT)","Perennial","Forb/herb","L48 (N)",""
"THELL2","","THELL2","Thellungiella","","Thellungiella","","","","","","","","","","","","","","","","","","USA (CO, ID, MT), CAN (AB, BC, MB, NT, SK, YT)","","","",""
"THSA","","THSA","Thellungiella salsuginea","","Thellungiella","","salsuginea","","","","","","","","","","","(Pall.) O.E. Schulz","","","","","USA (CO, ID, MT), CAN (AB, BC, MB, NT, SK, YT)","Annual, Biennial, Perennial","Forb/herb","L48 (N), CAN (N)",""
"THELY3","","THELY3","Thelypodiopsis","","Thelypodiopsis","","","","","","","","","","","","","","","","","","USA (AZ, CO, NM, NV, TX, UT, WY)","","","",""
"THAU3","","THAU3","Thelypodiopsis aurea","","Thelypodiopsis","","aurea","","","","","","","","","","","(Eastw.) Rydb.","","","","","USA (CO, NM, UT)","Biennial, Perennial","Forb/herb","L48 (N)",""
"THEL","","THEL","Thelypodiopsis elegans","","Thelypodiopsis","","elegans","","","","","","","","","","","(M.E. Jones) Rydb.","","","","","USA (CO, UT, WY)","Annual, Biennial","Forb/herb","L48 (N)",""
"THJU","","THJU","Thelypodiopsis juniperorum","","Thelypodiopsis","","juniperorum","","","","","","","","","","","(Payson) Rydb.","","","","","USA (CO)","Annual","Forb/herb","L48 (N)",""
"THELY","","THELY","Thelypodium","","Thelypodium","","","","","","","","","","","","","","","","","","USA (AZ, CA, CO, ID, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY), CAN (BC)","","","",""
"THIN","","THIN","Thelypodium integrifolium","","Thelypodium","","integrifolium","","","","","","","","","","","(Nutt.) Endl. ex Walp.","","","","","USA (AZ, CA, CO, ID, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY)","Biennial","Forb/herb","L48 (N)",""
"THING2","","THING2","Thelypodium integrifolium ssp. gracilipes","","Thelypodium","","integrifolium","ssp.","","gracilipes","","","","","","","","(Nutt.) Endl. ex Walp.","(B.L. Rob.) Al-Shehbaz","","","","USA (AZ, CO, NM, UT)","Biennial","Forb/herb","L48 (N)",""
"THINI","","THINI","Thelypodium integrifolium ssp. integrifolium","","Thelypodium","","integrifolium","ssp.","","integrifolium","","","","","","","","(Nutt.) Endl. ex Walp.","(Nutt.) Endl. ex Walp.","","","","USA (CO, ID, MT, ND, NE, OR, SD, UT, WA, WY)","Biennial","Forb/herb","L48 (N)",""
"THLA4","","THLA4","Thelypodium laxiflorum","","Thelypodium","","laxiflorum","","","","","","","","","","","Al-Shehbaz","","","","","USA (CO, NV, UT)","Biennial, Perennial","Forb/herb","L48 (N)",""
"THPA6","","THPA6","Thelypodium paniculatum","","Thelypodium","","paniculatum","","","","","","","","","","","A. Nelson","","","","","USA (CO, ID, MT, WY)","Biennial, Perennial","Forb/herb","L48 (N)",""
"THSA2","","THSA2","Thelypodium sagittatum","","Thelypodium","","sagittatum","","","","","","","","","","","(Nutt. ex Torr. & A. Gray) Endl. ex Walp.","","","","","USA (CO, ID, MT, NV, OR, UT, WA, WY)","Biennial, Perennial","Forb/herb","L48 (N)",""
"THSAS","","THSAS","Thelypodium sagittatum ssp. sagittatum","","Thelypodium","","sagittatum","ssp.","","sagittatum","","","","","","","","(Nutt. ex Torr. & A. Gray) Endl. ex Walp.","(Nutt. ex Torr. & A. Gray) Endl. ex Walp.","","","","USA (CO, ID, MT, NV, OR, UT, WA, WY)","Biennial, Perennial","Forb/herb","L48 (N)",""
"THWR","","THWR","Thelypodium wrightii","","Thelypodium","","wrightii","","","","","","","","","","","A. Gray","","","","","USA (AZ, CO, NM, OK, TX)","Biennial, Perennial","Forb/herb","L48 (N)",""
"THWRO","","THWRO","Thelypodium wrightii ssp. oklahomense","","Thelypodium","","wrightii","ssp.","","oklahomense","","","","","","","","A. Gray","Al-Shehbaz","","","","USA (CO, OK)","Biennial, Perennial","Forb/herb","L48 (N)",""
"THERM","","THERM","Thermopsis","","Thermopsis","","","","","","","","","","","","","","","","","","USA (AL, AZ, CA, CO, CT, GA, ID, KY, MA, MD, ME, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OK, OR, PA, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NF, ON, PE, SK)","","","",""
"THDI4","","THDI4","Thermopsis divaricarpa","","Thermopsis","","divaricarpa","","","","","","","","","","","A. Nelson","","","","","USA (CO, MT, NM, WY)","Perennial","Forb/herb","L48 (N)",""
"THMO6","","THMO6","Thermopsis montana","","Thermopsis","","montana","","","","","","","","","","","Nutt.","","","","","USA (AZ, CO, ID, MT, NM, NV, OR, UT, WA, WY)","Perennial","Forb/herb","L48 (N)",""
"THMOM3","","THMOM3","Thermopsis montana var. montana","","Thermopsis","","montana","","","","var.","","montana","","","","","Nutt.","Nutt.","","","","USA (AZ, CO, ID, MT, NM, NV, OR, UT, WA, WY)","Perennial","Forb/herb","L48 (N)",""
"THRH","","THRH","Thermopsis rhombifolia","","Thermopsis","","rhombifolia","","","","","","","","","","","(Nutt. ex Pursh) Nutt. ex Richardson","","","","","USA (CO, MT, ND, NE, NM, OK, SD, UT, WI, WY), CAN (AB, BC, MB, ON, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"THINO","","THINO","Thinopyrum","","Thinopyrum","","","","","","","","","","","","","","","","","","USA (AZ, CA, CO, GA, IA, ID, IL, KS, MA, ME, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OR, PA, RI, SC, SD, TX, UT, WA, WY), CAN (AB, BC, NB, NS, ON, QC, SK, YT)","","","",""
"THIN6","","THIN6","Thinopyrum intermedium","","Thinopyrum","","intermedium","","","","","","","","","","","(Host) Barkworth & D.R. Dewey","","","","","USA (AZ, CA, CO, GA, IA, ID, MA, MT, ND, NE, NJ, NM, NV, NY, OR, SD, TX, UT, WA, WY), CAN (BC, SK, YT)","Perennial","Graminoid","L48 (I), CAN (I)","Mid Spring"
"THPO7","","THPO7","Thinopyrum ponticum","","Thinopyrum","","ponticum","","","","","","","","","","","(Podp.) Z.-W. Liu & R.-C. Wang","","","","","USA (AZ, CA, CO, IA, ID, IL, KS, MO, MT, ND, NE, NM, NV, OR, SC, SD, TX, UT, WA, WY), CAN (AB, BC, NB, ON, QC, SK)","Perennial","Graminoid","L48 (I), CAN (I)","Early Summer"
